City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saldanha,-33.0117,17.9442,14.03,93,15,1.85,ZA,1691799792
1,odienne,9.51,-7.5692,22.09,97,100,1.32,CI,1691799792
2,kailua-kona,19.6406,-155.9956,29.72,78,40,6.69,US,1691799792
3,hermanus,-34.4187,19.2345,12.67,93,6,1.91,ZA,1691799792
4,isafjordur,66.0755,-23.124,8.88,87,91,2.69,IS,1691799792
5,grytviken,-54.2811,-36.5092,4.93,88,100,5.92,GS,1691799792
6,nar'yan-mar,67.6713,53.087,13.9,67,6,3.39,RU,1691799792
7,udachny,66.4167,112.4,19.4,53,100,3.95,RU,1691799793
8,albany,42.6001,-73.9662,21.42,71,16,2.64,US,1691799793
9,saipan,15.1355,145.701,29.39,100,40,5.14,MP,1691799793
10,port lincoln,-34.7333,135.8667,12.5,87,100,5.85,AU,1691799793
11,bethel,41.3712,-73.414,25.17,73,0,1.54,US,1691799793
12,oranjemund,-28.55,16.4333,13.95,87,72,2.94,NA,1691799794
13,fort bragg,35.139,-79.006,30.46,67,100,2.06,US,1691799794
14,atherton,53.5237,-2.4935,17.16,81,13,0.89,GB,1691799794
15,mount pearl,47.5166,-52.7813,17.3,92,40,4.63,CA,1691799794
16,yellowknife,62.456,-114.3525,16.29,77,75,6.17,CA,1691799794
17,longyearbyen,78.2186,15.6401,8.91,100,100,1.54,SJ,1691799794
18,cururupu,-1.8283,-44.8683,23.52,90,23,1.63,BR,1691799795
19,waitangi,-43.9535,-176.5597,13.23,92,60,1.79,NZ,1691799795
20,east ballina,-28.8667,153.5833,22.67,60,6,2.55,AU,1691799795
21,lebu,-37.6167,-73.65,7.84,79,20,2.58,CL,1691799795
22,wuchuan,21.4571,110.7659,27.51,85,90,1.57,CN,1691799795
23,nicoya,10.1483,-85.452,26.94,80,97,2.75,CR,1691799795
24,mrakovo,52.7161,56.6244,11.51,80,79,1.17,RU,1691799796
25,port mathurin,-19.6833,63.4167,22.75,81,6,10.8,MU,1691799796
26,blackmans bay,-43.0167,147.3167,10.07,84,57,4.39,AU,1691799796
27,margaret river,-33.95,115.0667,10.48,83,100,3.24,AU,1691799796
28,wailua homesteads,22.0669,-159.378,30.44,73,75,6.17,US,1691799796
29,muros,42.7762,-9.0603,22.05,95,89,2.99,ES,1691799796
30,port-aux-francais,-49.35,70.2167,3.78,94,79,15.74,TF,1691799797
31,happy valley-goose bay,53.3168,-60.3315,16.17,77,75,3.6,CA,1691799797
32,atafu village,-8.5421,-172.5159,28.03,64,41,4.25,TK,1691799797
33,bilibino,68.0546,166.4372,18.7,45,50,0.8,RU,1691799797
34,nola,40.922,14.5329,25.51,38,3,2.22,IT,1691799798
35,murun-kuren,49.6342,100.1625,17.25,70,60,0.63,MN,1691799798
36,luanda,-8.8368,13.2343,19.86,88,38,3.35,AO,1691799603
37,griffith,41.5284,-87.4237,28.92,70,0,5.14,US,1691799798
38,luderitz,-26.6481,15.1594,13.48,86,58,2.88,NA,1691799798
